Time,SVENY01,SVENY02,SVENY03,SVENY04,SVENY05,SVENY06,SVENY07,SVENY08,SVENY09,SVENY10,SVENY20,SVENY30
1961-06-14,2.94,3.36,3.55,3.64,3.62,3.74,3.77,NA,NA,3.82,3.81,3.82
1961-06-15,2.93,3.38,3.6,3.69,3.67,3.79,3.8,NA,NA,3.86,3.83,3.83
1961-06-16,2.93,3.38,3.6,3.7,3.69,3.79,3.8,NA,NA,3.86,3.83,3.83
1961-06-19,2.92,3.39,3.63,3.72,3.71,3.81,3.82,NA,NA,3.89,3.84,3.84
1961-06-20,2.95,3.36,3.6,3.7,3.69,3.79,3.81,NA,NA,3.89,3.86,3.85
1961-06-21,2.95,3.37,3.61,3.71,3.71,3.81,3.83,NA,NA,3.90,3.88,3.87
1961-06-22,2.95,3.35,3.6,3.7,3.71,3.8,3.82,NA,NA,3.91,3.88,3.88
1961-06-23,2.94,3.32,3.57,3.68,3.69,3.79,3.81,NA,NA,3.90,3.88,3.88
1961-06-26,2.93,3.3,3.57,3.68,3.69,3.79,3.81,NA,NA,3.90,3.88,3.88
1961-06-27,2.93,3.32,3.56,3.68,3.67,3.79,3.81,NA,NA,3.89,3.89,3.89
1961-06-28,2.93,3.35,3.59,3.7,3.7,3.81,3.82,NA,NA,3.91,3.9,3.91
1961-06-29,2.93,3.3,3.56,3.68,3.68,3.8,3.81,NA,NA,3.90,3.91,3.92
1961-06-30,3.07,3.26,3.5,3.63,3.59,3.76,3.79,NA,NA,3.87,3.89,3.9
1961-07-03,3.06,3.26,3.52,3.64,3.59,3.77,3.79,NA,NA,3.86,3.87,3.89
1961-07-05,3.06,3.26,NA,NA,3.59,NA,3.8,NA,NA,3.88,3.87,3.9
1961-07-06,3.05,3.26,3.53,3.66,3.6,3.79,3.81,NA,NA,3.88,3.88,3.91
1961-07-07,3.11,3.26,3.54,3.66,3.61,3.79,3.83,NA,NA,3.90,3.89,3.91
1961-07-10,3.1,3.27,3.56,3.68,3.62,3.81,3.85,NA,NA,3.91,3.89,3.92
1961-07-11,3.04,3.25,3.58,3.7,3.62,3.82,3.83,NA,NA,3.90,3.89,3.91
1961-07-12,3.04,3.21,3.56,3.69,3.61,3.82,3.83,NA,NA,3.88,3.89,3.91
1961-07-13,2.98,3.21,3.55,3.69,3.6,3.82,3.83,NA,NA,3.87,3.88,3.9
1961-07-14,2.98,3.18,3.55,3.68,3.6,3.82,3.89,NA,NA,3.86,3.88,3.9
1961-07-17,2.97,3.16,3.54,3.68,3.57,3.83,3.88,NA,NA,3.84,3.88,3.9
1961-07-18,2.97,3.16,3.53,3.67,3.58,3.81,3.88,NA,NA,3.84,3.87,3.9
1961-07-19,2.97,3.13,3.53,3.67,3.56,3.81,3.87,NA,NA,3.83,3.87,3.89
1961-07-20,2.96,3.12,3.52,3.66,3.53,3.8,3.86,NA,NA,3.82,3.86,3.87
1961-07-21,2.9,3.06,3.5,3.64,3.5,3.78,3.84,NA,NA,3.79,3.83,3.85
1961-07-24,2.89,3.08,3.45,3.6,3.52,3.76,3.86,NA,NA,3.81,3.84,3.85
1961-07-25,2.95,3.11,3.48,3.62,3.56,3.78,3.9,NA,NA,3.85,3.85,3.86
1961-07-26,3.01,3.17,3.52,3.66,3.59,3.81,3.93,NA,NA,3.88,3.87,3.89
1961-07-27,2.95,3.16,3.55,3.69,3.6,3.83,3.95,NA,NA,3.88,3.89,3.9
1961-07-28,2.94,3.16,3.55,3.7,3.59,3.85,3.95,NA,NA,3.88,3.89,3.91
1961-07-31,2.96,3.14,3.54,3.69,3.61,3.85,3.96,NA,NA,3.90,3.9,3.92
1961-08-01,2.87,3.15,3.51,3.68,3.6,3.87,3.96,NA,NA,3.90,3.89,3.91
1961-08-02,2.87,3.18,3.55,3.7,3.64,3.87,4,NA,NA,3.95,3.92,3.94
1961-08-03,2.87,3.18,3.6,3.75,3.68,3.9,4.02,NA,NA,3.99,3.94,3.96
1961-08-04,2.86,3.18,3.63,3.78,3.66,3.94,4.02,NA,NA,3.99,3.95,3.97
1961-08-07,2.92,3.21,3.62,3.78,3.7,3.94,4.05,NA,NA,4.04,3.98,4.02
1961-08-08,2.97,3.23,3.66,3.82,3.73,3.99,4.08,NA,NA,4.07,3.99,4.03
1961-08-09,2.97,3.26,3.7,3.86,3.74,4.03,4.08,NA,NA,4.08,4,4.04
1961-08-10,2.97,3.27,3.71,3.87,3.72,4.04,4.08,NA,NA,4.07,3.99,4.03
1961-08-11,2.97,3.28,3.71,3.86,3.71,4.02,4.06,NA,NA,4.04,3.99,4.03
1961-08-14,2.96,3.3,3.7,3.85,3.71,4,4.07,NA,NA,4.05,3.99,4.03
1961-08-15,2.96,3.32,3.72,3.86,3.71,4.01,4.06,NA,NA,4.04,3.99,4.02
1961-08-16,2.95,3.3,3.72,3.86,3.69,4.01,4.03,NA,NA,4.02,3.98,4.01
1961-08-17,2.95,3.27,3.71,3.85,3.66,3.99,3.99,NA,NA,4.00,3.97,4.01
1961-08-18,2.95,3.24,3.69,3.82,3.63,3.95,3.97,NA,NA,3.99,3.96,4
1961-08-21,2.94,3.28,3.66,3.79,3.64,3.92,3.98,NA,NA,4.00,3.98,4.02
1961-08-22,2.94,3.26,3.67,3.8,3.62,3.92,3.97,NA,NA,3.97,3.98,4.02
1961-08-23,2.93,3.26,3.66,3.78,3.64,3.91,3.98,NA,NA,3.98,3.98,4.03
1961-08-24,2.93,3.25,3.67,3.8,3.62,3.92,3.96,NA,NA,3.92,3.99,4.04
1961-08-25,2.93,3.25,3.65,3.78,3.62,3.91,3.96,NA,NA,3.93,3.99,4.04
1961-08-28,2.92,3.23,3.64,3.77,3.62,3.91,3.95,NA,NA,3.91,3.99,4.03
1961-08-29,2.92,3.24,3.63,3.76,3.62,3.9,3.95,NA,NA,3.91,3.99,4.03
1961-08-30,2.91,3.25,3.63,3.76,3.62,3.9,3.95,NA,NA,3.92,3.99,4.03
1961-08-31,2.78,3.25,3.64,3.77,3.63,3.91,3.96,NA,NA,3.94,3.99,4.04
1961-09-01,2.91,3.26,3.65,3.79,3.65,3.94,3.97,NA,NA,3.95,3.99,4.04
1961-09-05,2.9,3.28,3.67,3.8,3.65,3.94,3.97,NA,NA,3.95,3.99,4.04
